City,Alarms,Articles
Avi'el,0,0
Pardes Hanna-Karkur,0,0
Meiser,0,0
En Hod,0,0
nan,0,0
Kefar Gallim,0,0
Karmel,0,0
Newe Yam,0,0
Newe Yam,0,0
Megadim,0,0
Or Aqiva,0,0
En Karmel ,0,0
Zerufa,0,0
Mishmarot,0,0
Ma'anit,0,0
Harish,0,0
Qesaryya,0,0
Sedot Yam,0,0
Sedot Yam,0,0
Sedot Yam,0,0
Megiddo,0,0
Qesaryya,0,0
Bet Oren,0,0
Kafar Qara,0,0
Kefar Glikson,0,0
Binyamina-Giv'at Ada,0,0
Me Ammi,0,0
Me Ammi,0,0
Ein Hod,0,0
Bet Zevi,0,0
Yanuh-Jat,0,0
Yanuh-Jat,0,0
Geva,0,0
Talme El'azar,0,0
Dishon,0,0
Dishon,0,0
Eli,0,0
nan,0,0
nan,0,10
nan,0,0
Malkishua,0,0
Malkishua,0,0
Malkishua,0,0
Malkishua,0,1
nan,0,4
Bet Shemesh,0,0
nan,0,0
nan,0,17
nan,0,8
Ma'ale Adummim ,0,0
Shave Shomeron,0,4
Jerusalem,0,6
Elat,0,0
nan,0,0
nan,0,0
nan,0,0
nan,0,0
Sha'ar HaGolan ,0,0
Qazrin,0,0
Dan,0,0
Netanya,0,0
Netanya,0,0
Jerusalem,0,0
Jerusalem,0,0
Jerusalem,0,0
Jerusalem,0,0
Gelil Yam,0,0
Jerusalem,0,0
Jerusalem,0,0
Jerusalem,0,0
Ashqelon,0,0
Ashqelon,0,0
Ramat Gan ,1,0
Ramat Gan ,0,0
Tel Qazir,0,0
Sha'ar HaGolan ,0,0
Ma'agan Mikha'el,0,0
Massada,0,0
HaOn,0,0
Azor,0,0
Laqye,0,0
Migdalim ,0,1
Yavne'el,0,0
Shefar'am,1,0
Qiryat Bialik,1,0
Akko,1,0
Karmi'el,0,0
Kafar Kama,0,0
Qiryat Yam,1,0
Qiryat Atta,0,0
Karmi'el,0,0
Shlomit                                           ,2,0
Qiryat Shemona,0,0
Adi,0,0
nan,0,0
Shlomit                                           ,0,0
Adamit,0,0
Zova,0,0
Kabri,0,0
Ya'ara,0,0
Hanita,0,0
Sheikh Dannun,0,0
Netiv HaShayyara,0,0
Kefar Rosh HaNiqra,0,0
Gevulot,1,0
Magen Sha'ul ,3,1
Gevar'am,3,0
Poriyya-Newe Oved,1,0
Poriyya-Newe Oved,4,0
Rahat,3,0
Mishmar HaNegev,4,0
Mishmar HaNegev,5,0
nan,3,0
Lehavim ,3,0
Rannen,4,0
Peduyim,4,0
Tel Sheva,5,0
Nevatim ,4,0
Nevatim ,3,0
Pattish,5,0
Maslul,4,0
Maslul,3,0
Gilat,4,0
Bitha,5,1
Ofaqim,4,1
Umm Batin,3,0
Umm Batin,5,0
Umm Batin,5,0
Hazerim,5,0
Tifrah,4,0
Eshel HaNasi,3,0
Geva'ot Bar,4,0
Shoval,2,0
Ze'elim,3,0
Qiryat Mal'akhi,4,0
Be'er Toviyya,5,0
Orot,2,0
Negba,1,1
En HaBesor,3,0
Akko,1,0
En HaMifraz,1,0
Kefar Masaryk,1,0
Qiryat Motzkin,1,0
Azor,1,0
I'billin,1,0
Zerahya,2,0
Timmorim,2,0
Timmorim,2,0
Arugot,2,0
Dor,3,0
Ashdod,3,0
Nes Ziyyona,2,0
Nezer Sereni,1,0
Gibbeton,1,0
Pedaya,1,0
Pedaya,1,0
Dimona,1,0
Dimona,1,0
Dimona,1,0
Nehora,1,0
Newe Zohar,1,0
Yad Natan,1,0
Rewaha,1,0
Qomemiyyut,1,0
Qiryat Gat,1,0
Qiryat Gat,1,0
Urim,3,0
Helez,1,0
Misgav Am,1,1
Miqwe Yisra'el,1,0
Giv'atayim,1,0
nan,1,7
Mishmar HaShiv'a,1,0
Neta'im ,1,0
Bet Hanan,1,0
Ramat Gan ,1,0
Qiryat Ono,1,0
Giv'at Shemu'el,1,0
Baraq,1,0
Afeq,1,0
Afeq,1,1
Afeq,1,0
Afeq,1,0
Na'an,1,0
Kefar Truman,1,0
Kefar Truman,1,0
Kefar Truman,1,0
Hadid,1,0
Bareqet,1,0
Bet Arif,1,0
Bet Nehemya,1,0
Bet Dagan,1,0
nan,1,0
nan,1,0
Rinnatya,1,0
Enat,1,0
Ayanot,1,2
Nahshonim ,1,0
Nehalim,1,1
Nofekh,1,0
Mazliah,1,1
Mazor,1,0
Ramat Magshimim,1,0
Kafar Qasem,1,0
Kafar Qasem,1,0
Ginnaton,1,0
Bene Atarot,1,0
Kerem Ben Shemen ,1,0
Be'erot Yizhaq,1,0
Sha'are Tiqwa,1,1
Qarne Shomeron,1,1
Ma'ale Shomeron,1,0
Yagel,1,0
Yehud,1,0
Zetan,1,0
Ezer,1,0
Ramla ,1,0
Rosh HaAyin,1,0
Nir Zevi,1,0
Lod,1,2
