City,Alarms,Articles
Pattish,0,1
Maslul,0,1
Maslul,0,0
Gilat,0,0
Bitha,0,0
Ofaqim,0,1
Umm Batin,0,0
Umm Batin,0,0
Umm Batin,0,0
Hazerim,0,0
Tifrah,0,0
Eshel HaNasi,0,0
Geva'ot Bar,0,0
Shoval,0,0
Ze'elim,0,0
Qiryat Mal'akhi,0,1
Be'er Toviyya,0,2
Orot,0,0
Negba,0,0
En HaBesor,0,0
Akko,0,0
En HaMifraz,0,0
Kefar Masaryk,0,0
Qiryat Motzkin,0,0
Azor,0,0
I'billin,0,0
Zerahya,0,2
Timmorim,0,0
Timmorim,0,0
Arugot,0,0
Dor,0,0
Ashdod,0,0
Nes Ziyyona,0,0
Nezer Sereni,0,0
Gibbeton,0,0
Pedaya,0,0
Pedaya,0,0
Dimona,0,0
Dimona,0,0
Dimona,0,0
Nehora,0,0
Newe Zohar,0,0
Yad Natan,0,0
Rewaha,0,2
Qomemiyyut,0,0
Qiryat Gat,0,1
Qiryat Gat,0,0
Urim,0,0
Helez,0,0
Misgav Am,0,0
Miqwe Yisra'el,0,0
Giv'atayim,0,5
nan,0,24
Mishmar HaShiv'a,0,0
Neta'im ,0,0
Bet Hanan,0,0
Ramat Gan ,0,0
Qiryat Ono,0,0
Giv'at Shemu'el,0,0
Baraq,0,0
Afeq,0,0
Afeq,0,3
Afeq,0,0
Afeq,0,0
Na'an,0,0
Kefar Truman,0,0
Kefar Truman,0,0
Kefar Truman,0,0
Hadid,0,0
Bareqet,0,0
Bet Arif,0,0
Bet Nehemya,0,0
Bet Dagan,0,0
nan,0,0
nan,0,0
Rinnatya,0,0
Enat,0,0
Ayanot,0,0
Nahshonim ,0,0
Nehalim,0,0
Nofekh,0,0
Mazliah,0,1
Mazor,0,1
Ramat Magshimim,0,0
Kafar Qasem,0,0
Kafar Qasem,0,0
Ginnaton,0,0
Bene Atarot,0,0
Kerem Ben Shemen ,0,0
Be'erot Yizhaq,0,0
Sha'are Tiqwa,0,0
Qarne Shomeron,0,0
Ma'ale Shomeron,0,0
Yagel,0,0
Yehud,0,0
Zetan,0,0
Ezer,0,0
Ramla ,0,0
Rosh HaAyin,0,0
Nir Zevi,0,0
Lod,0,0
